waktu,Unnamed: 0,kelembaban,suhu,permukaan,hujan,curah
2020-03-09 00:00:02,9527,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:00:08,9528,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:00:15,9529,67.0,45.0,27.0,101.0,0.0
2020-03-09 00:00:22,9530,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:00:29,9531,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:00:35,9532,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:00:42,9533,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:00:54,9534,68.0,45.0,26.0,101.0,0.0
2020-03-09 00:01:01,9535,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:01:07,9536,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:01:14,9537,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:01:20,9538,69.0,45.0,26.0,101.0,0.0
2020-03-09 00:01:27,9539,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:01:59,9540,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:02:06,9541,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:02:24,9542,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:02:31,9543,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:02:37,9544,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:02:50,9545,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:03:28,9546,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:03:35,9547,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:03:41,9548,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:04:07,9549,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:04:20,9550,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:04:33,9551,68.0,45.0,26.0,101.0,0.0
2020-03-09 00:04:39,9552,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:04:46,9553,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:05:05,9554,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:05:24,9555,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:05:30,9556,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:05:37,9557,68.0,45.0,26.0,101.0,0.0
2020-03-09 00:05:44,9558,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:05:57,9559,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:06:09,9560,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:06:16,9561,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:06:23,9562,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:06:29,9563,68.0,45.0,26.0,101.0,0.0
2020-03-09 00:06:36,9564,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:06:49,9565,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:06:55,9566,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:07:02,9567,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:07:14,9568,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:07:47,9569,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:07:53,9570,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:08:00,9571,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:08:06,9572,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:08:13,9573,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:08:20,9574,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:08:32,9575,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:08:38,9576,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:09:29,9577,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:09:36,9578,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:10:07,9579,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:10:14,9580,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:10:27,9581,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:10:34,9582,68.0,45.0,26.0,101.0,0.0
2020-03-09 00:10:41,9583,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:10:59,9584,68.0,45.0,26.0,101.0,0.0
2020-03-09 00:11:05,9585,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:11:19,9586,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:11:37,9587,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:11:39,9588,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:11:50,9589,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:11:57,9590,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:12:03,9591,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:13:01,9592,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:13:07,9593,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:13:14,9594,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:13:20,9595,68.0,46.0,27.0,101.0,0.0
2020-03-09 00:13:27,9596,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:13:46,9597,68.0,44.0,27.0,101.0,0.0
2020-03-09 00:13:53,9598,68.0,45.0,27.0,101.0,0.0
2020-03-09 00:14:12,9599,68.0,45.0,27.0,101.0,0.0
